t,e_hat,Accuracy,pe,batch,Condition
63,0,0.9929239947951018,0.8987822410934643,0,Interleaved
64,0,0.9793273655847932,0.7617423772095686,0,Interleaved
65,0,0.8381393315255551,0.41463671794750523,0,Interleaved
66,0,0.0815114865629716,0.5818774311218169,0,Interleaved
67,0,0.6267364191192757,0.5955727892264316,0,Interleaved
68,0,0.11694488467973982,0.5949077706957793,0,Interleaved
69,0,0.811248450694827,0.48785388021420983,0,Interleaved
70,0,0.6567573497460244,0.476111518623082,0,Interleaved
71,0,0.7657770187272273,0.4356668687525367,0,Interleaved
72,0,0.5887483370225874,0.5722247164993337,0,Interleaved
73,0,0.46024599842200836,0.5819459752004075,0,Interleaved
74,0,0.689576166849578,0.4927141631265175,0,Interleaved
75,0,0.15310358470688878,0.7097087145136787,0,Interleaved
76,0,0.11874718983485091,0.4819822347392917,0,Interleaved
77,0,0.055372309232802744,0.6871182163583809,0,Interleaved
78,0,0.22807786934878244,0.6495327480806194,0,Interleaved
79,0,0.5420133655881587,0.562586108496662,0,Interleaved
80,0,0.7216588697052082,0.48059787533317283,0,Interleaved
81,0,0.45280130742251057,0.5795618186453921,0,Interleaved
82,0,0.5065936358416417,0.3669620118674475,0,Interleaved
83,0,0.8845893264576733,0.5077244674209764,0,Interleaved
84,0,0.2985468005390329,0.5601543798165742,0,Interleaved
85,0,0.3405240254614864,0.43077729921955565,0,Interleaved
86,0,0.8431227975223055,0.3627289546111835,0,Interleaved
87,0,0.4903375547034539,0.5355102474417566,0,Interleaved
88,0,0.9385132240993281,0.3063526024531043,0,Interleaved
89,0,0.6832536521720571,0.547577928005269,0,Interleaved
90,0,0.5435478821704016,0.4001371235948218,0,Interleaved
91,0,0.7679892052620427,0.4646946438217096,0,Interleaved
92,0,0.34532554955932027,0.6290820168673958,0,Interleaved
93,0,0.34011586960807433,0.39260503959853144,0,Interleaved
94,0,0.39057345863957793,0.5119378554194763,0,Interleaved
95,0,0.3629459631701852,0.6269187618304904,0,Interleaved
96,0,0.49753796257326377,0.4896803208533558,0,Interleaved
97,0,0.3513326234271998,0.5574017675870082,0,Interleaved
98,0,0.5935315790001792,0.4573190737664322,0,Interleaved
99,0,0.20573808670248545,0.5144101250459641,0,Interleaved
100,0,0.6406273649288754,0.7220181577920917,0,Interleaved
101,0,0.9394007401081901,0.5124791170334,0,Interleaved
102,0,0.5147909591073383,0.7130319255601741,0,Interleaved
103,0,0.5137775142369975,0.4391938312500839,0,Interleaved
104,0,0.03684565579341245,0.7485820073731881,0,Interleaved
105,0,0.8049491375067159,0.4496377268188605,0,Interleaved
106,0,0.749219091446235,0.4469791858737505,0,Interleaved
107,0,0.47085349029968804,0.545672624396022,0,Interleaved
108,0,0.34621968819486415,0.7261519559382918,0,Interleaved
109,0,0.31746762642790066,0.4511938201548572,0,Interleaved
110,0,0.8602212521838316,0.6233045688529509,0,Interleaved
111,0,0.3907746715468847,0.6557631778316284,0,Interleaved
112,0,0.3358941066009385,0.5135094900970596,0,Interleaved
113,0,0.7656943345966376,0.44438274989269555,0,Interleaved
114,0,0.27320497551027356,0.6332472746720527,0,Interleaved
115,0,0.49804917677571564,0.5528408579049073,0,Interleaved
116,0,0.021651499630809663,0.7158491429494631,0,Interleaved
117,0,0.6083880309071288,0.6388765134341636,0,Interleaved
118,0,0.6199351921298732,0.5137233998098247,0,Interleaved
119,0,0.27584507444154444,0.6951686999907456,0,Interleaved
120,0,0.5392163355099745,0.4189384304151712,0,Interleaved
121,0,0.6586255128056094,0.6114784127457843,0,Interleaved
122,0,0.18735641996111177,0.5444989949522974,0,Interleaved
123,0,0.9278275790361385,0.6276426799499101,0,Interleaved
124,0,0.6232468115892551,0.5152379926954846,0,Interleaved
125,0,0.5744387305723825,0.5435925771278276,0,Interleaved
126,0,0.16445876785158495,0.7657960811012294,0,Interleaved
127,0,0.4879606272491006,0.4891728522349631,0,Interleaved
128,0,0.9971977175693068,0.33996878747215087,0,Interleaved
129,0,0.41141336854668864,0.48117022865687226,0,Interleaved
130,0,0.7506196369578333,0.5468315188222563,0,Interleaved
131,0,0.4207911666730659,0.8391769248183325,0,Interleaved
132,0,0.47366012287532866,0.5048096367443897,0,Interleaved
133,0,0.3714323591661034,0.5194960610441627,0,Interleaved
134,0,0.6727952905165261,0.4686783157566752,0,Interleaved
135,0,0.3890534396090613,0.5335022848233167,0,Interleaved
136,0,0.6825054831259186,0.8746933907355368,0,Interleaved
137,0,0.8687074818891496,0.5523849860945553,0,Interleaved
138,0,0.444425940651876,0.4776528443298951,0,Interleaved
139,0,0.1433312991960549,0.5273650293464258,0,Interleaved
140,0,0.3539770333266053,0.6124959799643142,0,Interleaved
141,0,0.35474442233482284,0.44027202182314695,0,Interleaved
142,0,0.3249404024610303,0.5043305204414431,0,Interleaved
143,0,0.504045642083532,0.49621008546760664,0,Interleaved
144,0,0.023923918241975036,0.7339398867480225,0,Interleaved
145,0,0.3530863373606614,0.3744963151882552,0,Interleaved
146,0,0.5960242939504381,0.4404831176791958,0,Interleaved
147,0,0.8573342176416341,0.5147291033195154,0,Interleaved
148,0,0.5207792233758387,0.43132355972588465,0,Interleaved
149,0,0.030195284154040523,0.5911753306838844,0,Interleaved
150,0,0.26369759659916464,0.3568144354494597,0,Interleaved
151,0,0.14963284270418672,0.5226238965243974,0,Interleaved
152,0,0.4818633095733696,0.45304760741495653,0,Interleaved
153,0,0.14983365149278072,0.4012689173074624,0,Interleaved
154,0,0.4570682230079627,0.5392489083180658,0,Interleaved
155,0,0.4264232969661872,0.4465860305554905,0,Interleaved
156,0,0.3876591172688235,0.5319415883428656,0,Interleaved
157,0,0.1434592473421923,0.44910191532673893,0,Interleaved
158,0,0.7633459359443424,0.394605287437664,0,Interleaved
159,0,0.5863721147190646,0.5932650383144549,0,Interleaved
160,0,0.5068972291035208,0.5181210691952931,0,Interleaved
161,0,0.6155124211112052,0.7368590223289498,0,Interleaved
162,0,0.3926429993163812,0.6515575321437538,0,Interleaved
163,0,0.47043261556488514,0.5832798962477739,0,Interleaved
164,0,0.7769657914599069,0.5940877384774801,0,Interleaved
165,0,0.9323884048965745,0.42717403468623766,0,Interleaved
166,0,0.5095292675113885,0.5788627063753101,0,Interleaved
